frame,structure,x,y
1,tongue,64.500,94.000
1,tongue,64.523,97.114
1,tongue,66.349,99.370
1,tongue,69.260,100.093
1,tongue,71.076,102.576
1,tongue,73.699,104.199
1,tongue,76.009,106.255
1,tongue,79.049,106.774
1,tongue,81.837,108.168
1,tongue,84.771,109.135
1,tongue,87.808,109.662
1,tongue,90.750,110.500
1,tongue,93.683,109.563
1,tongue,96.794,109.500
1,tongue,99.910,109.500
1,tongue,102.516,107.992
1,tongue,105.539,107.500
1,tongue,108.543,106.957
1,tongue,110.747,104.753
1,tongue,112.951,102.549
1,tongue,115.154,100.346
1,tongue,117.358,98.142
1,tongue,119.562,95.938
1,tongue,120.500,93.098
1,tongue,121.190,90.121
1,tongue,121.709,87.081
1,tongue,122.676,84.147
1,tongue,123.500,81.202
1,tongue,123.500,78.085
1,tongue,124.469,75.156
1,tongue,126.180,74.860
1,tongue,126.281,77.886
1,tongue,124.830,80.159
1,tongue,127.425,81.415
1,tongue,129.558,79.384
1,tongue,131.319,76.861
1,tongue,131.500,73.764
1,tongue,130.455,70.978
1,tongue,128.233,68.966
1,tongue,127.500,66.000
1,jaw,54.000,71.000
1,jaw,62.000,71.000
1,jaw,54.000,72.000
1,jaw,62.000,72.000
1,jaw,54.000,73.000
1,jaw,54.000,74.000
1,jaw,62.000,73.000
1,jaw,54.000,75.000
1,jaw,63.000,74.000
1,jaw,55.000,76.000
1,jaw,55.000,77.000
1,jaw,64.000,75.000
1,jaw,55.000,78.000
1,jaw,56.000,79.000
1,jaw,65.000,76.000
1,jaw,57.000,80.000
1,jaw,58.000,80.000
1,jaw,65.000,77.000
1,jaw,59.000,81.000
1,jaw,59.000,82.000
1,jaw,66.000,78.000
1,jaw,59.000,83.000
1,jaw,66.000,79.000
1,jaw,59.000,84.000
1,jaw,59.000,85.000
1,jaw,56.000,88.000
1,jaw,55.000,89.000
1,jaw,59.000,86.000
1,jaw,57.000,88.000
1,jaw,67.000,80.000
1,jaw,55.000,90.000
1,jaw,59.000,87.000
1,jaw,58.000,88.000
1,jaw,55.000,91.000
1,jaw,67.000,81.000
1,jaw,55.000,92.000
1,jaw,55.000,93.000
1,jaw,56.000,94.000
1,jaw,68.000,82.000
1,jaw,56.000,95.000
1,jaw,68.000,83.000
1,jaw,57.000,96.000
1,jaw,58.000,96.000
1,jaw,68.000,84.000
1,jaw,59.000,96.000
1,jaw,68.000,85.000
1,jaw,60.000,96.000
1,jaw,68.000,86.000
1,jaw,61.000,96.000
1,jaw,62.000,96.000
1,jaw,68.000,87.000
1,jaw,65.000,92.000
1,jaw,67.000,89.000
1,jaw,64.000,94.000
1,jaw,66.000,91.000
1,jaw,68.000,88.000
1,jaw,63.000,96.000
1,jaw,65.000,93.000
1,jaw,67.000,90.000
1,jaw,64.000,95.000
1,jaw,93.000,71.000
1,jaw,94.000,71.000
1,jaw,95.000,71.000
1,jaw,96.000,71.000
1,jaw,97.000,71.000
1,jaw,98.000,71.000
1,jaw,99.000,71.000
1,jaw,100.000,71.000
1,jaw,101.000,71.000
1,jaw,102.000,71.000
1,jaw,103.000,71.000
1,jaw,104.000,71.000
1,jaw,108.000,70.000
1,jaw,107.000,70.000
1,jaw,106.000,70.000
1,jaw,105.000,70.000
1,jaw,92.000,70.000
1,jaw,91.000,70.000
1,jaw,90.000,70.000
1,jaw,89.000,70.000
1,jaw,88.000,70.000
1,jaw,87.000,70.000
1,jaw,113.000,69.000
1,jaw,112.000,69.000
1,jaw,86.000,70.000
1,jaw,111.000,69.000
1,jaw,110.000,69.000
1,jaw,109.000,69.000
1,jaw,115.000,68.000
1,jaw,114.000,68.000
1,jaw,116.000,67.000
1,jaw,116.000,66.000
1,jaw,117.000,65.000
1,jaw,117.000,64.000
1,jaw,117.000,63.000
1,jaw,85.000,69.000
1,jaw,117.000,62.000
1,jaw,117.000,61.000
1,jaw,117.000,60.000
1,jaw,117.000,59.000
1,jaw,117.000,58.000
1,jaw,116.000,58.000
1,jaw,115.000,58.000
1,jaw,114.000,58.000
1,jaw,113.000,58.000
1,jaw,110.000,59.000
1,jaw,112.000,58.000
1,jaw,109.000,59.000
1,jaw,111.000,58.000
1,jaw,108.000,59.000
1,jaw,105.000,60.000
1,jaw,107.000,59.000
1,jaw,104.000,60.000
1,jaw,106.000,59.000
1,jaw,103.000,60.000
1,jaw,102.000,60.000
1,jaw,84.000,68.000
1,jaw,101.000,60.000
1,jaw,100.000,60.000
1,jaw,99.000,60.000
1,jaw,98.000,60.000
1,jaw,97.000,60.000
1,jaw,96.000,60.000
1,jaw,95.000,60.000
1,jaw,94.000,59.000
1,jaw,93.000,59.000
1,jaw,83.000,67.000
1,jaw,92.000,59.000
1,jaw,91.000,59.000
1,jaw,90.000,59.000
1,jaw,89.000,59.000
1,jaw,88.000,59.000
1,jaw,87.000,59.000
1,jaw,82.000,66.000
1,jaw,86.000,59.000
1,jaw,85.000,59.000
1,jaw,81.000,66.000
1,jaw,84.000,59.000
1,jaw,83.000,59.000
1,jaw,82.000,59.000
1,jaw,80.000,66.000
1,jaw,81.000,58.000
1,jaw,80.000,58.000
1,jaw,79.000,58.000
1,jaw,79.000,66.000
1,jaw,78.000,58.000
1,jaw,77.000,58.000
1,jaw,76.000,58.000
1,jaw,75.000,58.000
1,jaw,78.000,67.000
1,jaw,74.000,58.000
1,jaw,73.000,58.000
1,jaw,72.000,58.000
1,jaw,77.000,67.000
1,jaw,71.000,58.000
1,jaw,70.000,58.000
1,jaw,69.000,58.000
1,jaw,68.000,58.000
1,jaw,76.000,67.000
1,jaw,67.000,59.000
1,jaw,66.000,59.000
1,jaw,65.000,59.000
1,jaw,75.000,67.000
1,jaw,64.000,59.000
1,jaw,63.000,59.000
1,jaw,62.000,59.000
1,jaw,74.000,67.000
1,jaw,61.000,60.000
1,jaw,73.000,67.000
1,jaw,60.000,61.000
1,jaw,59.000,61.000
1,jaw,72.000,67.000
1,jaw,71.000,67.000
1,jaw,58.000,62.000
1,jaw,70.000,67.000
1,jaw,57.000,63.000
1,jaw,69.000,67.000
1,jaw,68.000,67.000
1,jaw,56.000,64.000
1,jaw,67.000,67.000
1,jaw,55.000,64.000
1,jaw,66.000,67.000
1,jaw,65.000,67.000
1,jaw,64.000,67.000
1,jaw,54.000,65.000
1,jaw,54.000,66.000
1,jaw,63.000,68.000
1,jaw,54.000,67.000
1,jaw,54.000,68.000
1,jaw,62.000,69.000
1,jaw,54.000,69.000
1,jaw,62.000,70.000
1,jaw,54.000,70.000
1,palate,114.000,108.000
1,palate,112.000,109.000
1,palate,110.000,110.000
1,palate,113.000,109.000
1,palate,108.000,111.000
1,palate,111.000,110.000
1,palate,109.000,111.000
1,palate,107.000,112.000
1,palate,107.000,113.000
1,palate,107.000,114.000
1,palate,107.000,115.000
1,palate,107.000,116.000
1,palate,107.000,117.000
1,palate,108.000,117.000
1,palate,109.000,117.000
1,palate,110.000,117.000
1,palate,111.000,117.000
1,palate,112.000,117.000
1,palate,113.000,117.000
1,palate,114.000,116.000
1,palate,115.000,116.000
1,palate,116.000,116.000
1,palate,117.000,115.000
1,palate,118.000,115.000
1,palate,119.000,114.000
1,palate,120.000,114.000
1,palate,121.000,113.000
1,palate,122.000,112.000
1,palate,123.000,111.000
1,palate,124.000,110.000
1,palate,124.000,109.000
1,palate,125.000,108.000
1,palate,126.000,107.000
1,palate,126.000,106.000
1,palate,127.000,105.000
1,palate,128.000,104.000
1,palate,128.000,103.000
1,palate,128.000,102.000
1,palate,128.000,101.000
1,palate,128.000,100.000
1,palate,128.000,99.000
1,palate,128.000,98.000
1,palate,124.000,101.000
1,palate,123.000,102.000
1,palate,127.000,97.000
1,palate,127.000,96.000
1,palate,124.000,100.000
1,palate,127.000,95.000
1,palate,124.000,99.000
1,palate,122.000,102.000
1,palate,124.000,98.000
1,palate,126.000,94.000
1,palate,121.000,103.000
1,palate,124.000,97.000
1,palate,125.000,94.000
1,palate,124.000,96.000
1,palate,124.000,95.000
1,palate,124.000,94.000
1,palate,120.000,104.000
1,palate,119.000,105.000
1,palate,118.000,106.000
1,palate,117.000,106.000
1,palate,116.000,107.000
1,palate,115.000,107.000
2,tongue,68.500,90.000
2,tongue,67.500,92.785
2,tongue,67.500,95.873
2,tongue,68.965,98.465
2,tongue,71.393,100.286
2,tongue,73.223,102.723
2,tongue,75.911,104.206
2,tongue,78.925,104.712
2,tongue,81.686,106.093
2,tongue,84.700,106.500
2,tongue,87.605,107.421
2,tongue,90.685,107.500
2,tongue,93.772,107.500
2,tongue,96.859,107.500
2,tongue,99.947,107.500
2,tongue,102.847,106.531
2,tongue,105.931,106.500
2,tongue,108.832,105.534
2,tongue,111.681,104.409
2,tongue,114.036,102.464
2,tongue,116.219,100.281
2,tongue,117.887,97.727
2,tongue,119.635,95.230
2,tongue,121.606,92.894
2,tongue,122.705,90.091
2,tongue,123.500,87.168
2,tongue,123.698,84.104
2,tongue,124.500,81.184
2,tongue,124.500,78.096
2,tongue,124.500,75.009
2,tongue,126.176,73.010
2,tongue,126.500,76.015
2,tongue,126.220,79.060
2,tongue,127.255,81.333
2,tongue,130.078,80.211
2,tongue,131.500,77.687
2,tongue,131.421,74.607
2,tongue,130.154,71.807
2,tongue,128.773,69.046
2,tongue,128.500,66.000
2,jaw,54.000,71.000
2,jaw,62.000,71.000
2,jaw,54.000,72.000
2,jaw,62.000,72.000
2,jaw,54.000,73.000
2,jaw,54.000,74.000
2,jaw,62.000,73.000
2,jaw,55.000,75.000
2,jaw,63.000,74.000
2,jaw,55.000,76.000
2,jaw,56.000,77.000
2,jaw,64.000,75.000
2,jaw,56.000,78.000
2,jaw,57.000,79.000
2,jaw,65.000,76.000
2,jaw,57.000,80.000
2,jaw,65.000,77.000
2,jaw,58.000,81.000
2,jaw,65.000,78.000
2,jaw,59.000,82.000
2,jaw,59.000,83.000
2,jaw,66.000,79.000
2,jaw,59.000,84.000
2,jaw,59.000,85.000
2,jaw,58.000,86.000
2,jaw,55.000,89.000
2,jaw,54.000,90.000
2,jaw,58.000,87.000
2,jaw,53.000,91.000
2,jaw,67.000,80.000
2,jaw,56.000,89.000
2,jaw,53.000,92.000
