frame,label,x,y
1,jaw,79.687,69.667
2,jaw,78.838,70.249
3,jaw,78.308,70.478
4,jaw,77.958,71.519
5,jaw,76.074,71.861
6,jaw,79.623,67.216
7,jaw,78.390,70.667
8,jaw,75.758,72.077
9,jaw,76.483,71.555
10,jaw,77.872,69.861
11,jaw,77.643,70.722
12,jaw,75.808,72.280
13,jaw,73.924,73.527
14,jaw,75.726,71.652
15,jaw,78.494,70.874
16,jaw,78.690,71.050
17,jaw,79.925,71.071
18,jaw,79.664,71.038
19,jaw,79.581,69.505
20,jaw,79.355,69.585
21,jaw,77.032,70.316
22,jaw,77.075,71.641
23,jaw,76.081,73.113
24,jaw,77.015,73.254
25,jaw,77.687,70.402
26,jaw,79.328,69.139
27,jaw,79.830,69.420
28,jaw,77.938,69.690
29,jaw,77.478,68.311
30,jaw,78.788,68.082
31,jaw,78.792,68.939
32,jaw,79.324,69.654
33,jaw,80.031,70.917
34,jaw,77.045,72.620
35,jaw,80.856,69.081
36,jaw,81.441,68.623
37,jaw,82.445,68.101
38,jaw,82.150,68.122
39,jaw,80.986,68.000
40,jaw,80.688,66.204
41,jaw,79.964,66.769
42,jaw,79.991,66.537
43,jaw,79.564,67.462
44,jaw,76.024,71.220
45,jaw,75.166,72.308
46,jaw,81.305,63.874
47,jaw,81.517,64.156
48,jaw,81.147,66.091
49,jaw,78.222,68.932
50,jaw,76.949,71.600
51,jaw,77.740,70.621
52,jaw,77.896,70.397
53,jaw,76.263,71.199
54,jaw,74.955,73.151
55,jaw,74.522,72.784
56,jaw,75.440,71.901
57,jaw,79.007,69.242
58,jaw,78.673,70.754
59,jaw,76.150,73.107
60,jaw,77.077,72.849
61,jaw,75.765,73.001
62,jaw,74.545,71.772
63,jaw,76.125,71.549
64,jaw,75.658,72.354
65,jaw,75.597,72.781
66,jaw,75.688,72.641
67,jaw,78.162,69.388
68,jaw,78.545,70.877
69,jaw,77.743,72.294
70,jaw,78.564,72.509
71,jaw,79.641,71.314
72,jaw,78.985,70.955
73,jaw,79.718,70.440
74,jaw,80.743,69.739
75,jaw,80.964,69.278
76,jaw,83.104,66.964
77,jaw,83.220,66.461
78,jaw,81.538,66.803
79,jaw,80.842,67.474
80,jaw,78.784,69.861
81,jaw,75.545,71.380
82,jaw,74.490,71.325
83,jaw,76.492,70.265
84,jaw,76.998,70.638
85,jaw,77.247,70.427
86,jaw,77.223,71.111
87,jaw,75.110,72.429
88,jaw,76.789,70.689
89,jaw,78.760,68.592
90,jaw,79.084,68.650
91,jaw,77.842,69.639
92,jaw,78.029,69.961
93,jaw,77.620,71.249
94,jaw,76.618,71.810
95,jaw,76.345,71.676
96,jaw,76.697,71.993
97,jaw,75.086,71.987
98,jaw,78.805,67.772
99,jaw,78.993,68.353
100,jaw,79.752,70.885
101,jaw,80.093,71.300
102,jaw,79.257,69.498
103,jaw,79.426,69.593
104,jaw,76.963,70.109
105,jaw,77.866,70.663
