index0,objIndex1,x,y,z
396,397,106.440000,0.000000,61.460000
397,398,101.600000,0.000000,63.050000
398,399,110.070000,0.000000,57.540000
399,400,106.500000,0.000000,55.640000
400,401,96.600000,0.000000,58.040000
401,402,125.770000,0.000000,58.350000
402,403,129.780000,0.000000,60.310000
403,404,127.460000,0.000000,57.070000
404,405,90.750000,0.000000,58.930000
405,406,92.660000,0.000000,76.400000
406,407,126.620000,0.000000,94.400000
407,408,84.070000,0.000000,60.390000
408,409,100.180000,0.000000,110.850000
409,410,81.290000,0.000000,108.550000
410,411,109.820000,0.000000,61.200000
411,412,113.170000,0.000000,60.420000
412,413,117.470000,0.000000,59.380000
413,414,86.800000,0.000000,59.450000
414,415,116.310000,0.000000,105.810000
415,416,76.500000,0.000000,89.310000
416,417,68.260000,0.000000,106.950000
417,418,65.320000,0.000000,94.750000
418,419,62.420000,0.000000,105.000000
419,420,68.510000,0.000000,96.270000
420,421,67.050000,0.000000,101.460000
421,422,60.390000,0.000000,99.520000
422,423,131.820000,0.000000,75.160000
423,424,132.750000,0.000000,67.320000
424,425,80.000000,0.000000,60.990000
425,426,80.490000,0.000000,63.410000
426,427,81.240000,0.000000,66.230000
427,428,81.490000,0.000000,68.060000
428,429,81.910000,0.000000,70.150000
429,430,82.530000,0.000000,72.450000
430,431,83.120000,0.000000,77.290000
431,432,80.110000,0.000000,82.390000
432,433,81.960000,0.000000,60.370000
